word,count
指不定,35
妈呀,35
晕车,35
交,35
真心,35
刺激,35
像头,35
黄色,35
看不懂,35
约会,35
爬,35
没得,35
方向,35
经历,35
气死,35
28,35
玩去,35
没吃过,35
四点,35
不乐,35
绿色,35
先去,35
太行,35
新鲜,35
rua,35
忍住,35
顺德,35
玉米,35
慌,35
碰,35
压力,35
搜,35
赚钱,35
🐑,35
没收,35
背,35
富贵,35
袋子,35
♥,35
别错过,35
还给,34
像不像,34
一分钟,34
信任,34
代表,34
数据,34
错字,34
打错字,34
🤏,34
摄像,34
当真,34
反,34
细节,34
天花板,34
好快,34
输,34
宵夜,34
隔,34
事实,34
发出,34
吃醋,34
一整,34
变化,34
愿望,34
额,34
定位,34
派,34
些许,34
很晚,34
些,34
洗碗,34
冤枉,34
失落,34
简历,34
💨,34
😮,34
顺其自然,34
带回,34
凉,34
香水,34
张鱼,34
眼神,33
会议,33
周一,33
ξ,33
抖,33
浪漫,33
铁,33
摄像头,33
剩下,33
来得,33
蛋糕,33
点个,33
欲,33
三,33
聊点,33
发过,33
拼,33
第二次,33
会儿,33
音乐,33
壁纸,33
扣,33
体育,33
一共,33
没来,33
A,33
那去,33
没说,33
临时,33
睡一觉,33
客厅,33
关门,33
体检,33
讨论,33
像是,33
摩托,33
无理取闹,33
取闹,33
可乐,33
囧,33
鸡胸肉,33
自我,32
一看,32
多年,32
有毒,32
答案,32
音,32
流汗,32
二,32
怎讲,32
导致,32
内容,32
劝,32
黄,32
抠,32
无所,32
肥,32
玩游,32
玩游戏,32
微笑,32
条件,32
大方,32
咱俩,32
猪脚,32
整,32
震惊,32
重点,32
不加,32
甩,32
温度,32
煲,32
困死,32
管理,32
不忙,32
一群,32
进度,32
多大,32
<,32
『,32
』,32
舌头,32
痛死,32
下个月,32
羞耻,32
奇葩,32
顺手,32
右边,32
调整,32
闻到,32
500,32
很久很久,32
不靠,32
情人,32
地铁口,32
铁口,32
周,32
#...,31
恢复,31
放屁,31
好人,31
看不出来,31
ktv,31
爱情,31
小猫,31
洗脸,31
南沙,31
胃痛,31
反思,31
城区,31
热死,31
全,31
好事,31
路过,31
再见,31
飞,31
刷到,31
贱,31
逗,31
服务,31
吊,31
善变,31
毛毛,31
伤,31
穿着,31
带个,31
短袖,31
香港,31
烫,31
屏蔽,31
精力,31
枕头,31
考虑一下,31
那条,31
昨天晚上,31
很困,31
躲,31
公平,31
好晚,31
皮,31
一时间,31
显示,31
密码,31
真不,31
喷,31
嫖,31
盯,31
歌词,31
呜呜,30
鱼,30
白云,30
吸引,30
图文,30
觉,30
快去,30
原谅,30
版本,30
👌,30
且说,30
相册,30
产品,30
仔,30
看破,30
hr,30
莫非,30
报,30
已,30
体重,30
口味,30
哪张,30
